,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
462,11-Nov-16,-0.125,10.51,10.29,9.88,"6,056,300","902,479,000",-0.41,Decrease
463,12-Nov-16,0.086734694,10.29,9.88,10.1,"10,052,500","883,780,000",0.22,Increase
464,13-Nov-16,0.63681592,9.89,10.1,9.97,"8,227,770","849,342,000",-0.13,Decrease
465,14-Nov-16,0.785714286,10.1,9.97,10.22,"3,573,250","867,755,000",0.25,Increase
466,15-Nov-16,0.255319149,9.97,10.22,10.06,"6,557,550","857,223,000",-0.16,Decrease
467,16-Nov-16,1.195555556,10.22,10.06,9.99,"9,533,550","878,610,000",-0.07,Decrease
468,17-Nov-16,0.356097561,10.06,9.99,9.48,"6,984,700","865,393,000",-0.51,Decrease
469,18-Nov-16,0.170212766,9.99,9.48,9.66,"10,816,100","859,571,000",0.18,Increase
470,19-Nov-16,0.613861386,9.48,9.66,9.58,"5,186,540","816,380,000",-0.08,Decrease
471,20-Nov-16,0.032608696,9.66,9.58,9.62,"5,173,420","832,050,000",0.04,Increase
472,21-Nov-16,0.62,9.58,9.62,9.91,"3,663,210","825,381,000",0.29,Increase
473,22-Nov-16,0.481927711,9.63,9.91,9.84,"11,284,400","829,616,000",-0.07,Decrease
474,23-Nov-16,0.333333333,9.92,9.84,9.23,"4,812,310","855,265,000",-0.61,Decrease
475,24-Nov-16,0.274725275,9.85,9.23,9.4,"15,987,800","849,229,000",0.17,Increase
476,25-Nov-16,0.53960396,9.23,9.4,9.33,"7,669,720","796,268,000",-0.07,Decrease
477,26-Nov-16,0.331683168,9.42,9.33,9,"3,505,990","812,795,000",-0.33,Decrease
478,27-Nov-16,0.566666667,9.31,9,8.72,"8,707,660","804,085,000",-0.28,Decrease
479,28-Nov-16,0.467661692,9,8.72,8.17,"6,046,890","777,311,000",-0.55,Decrease
480,29-Nov-16,0.59375,8.73,8.17,8.59,"17,000,400","754,307,000",0.42,Increase
481,30-Nov-16,0.506493506,8.16,8.59,8.45,"10,626,600","705,040,000",-0.14,Decrease
482,1-Dec-16,1.168181818,8.6,8.45,7.76,"5,882,340","743,882,000",-0.69,Decrease
483,2-Dec-16,0.371584699,8.46,7.76,7.92,"18,579,800","731,520,000",0.16,Increase
484,3-Dec-16,0.674698795,7.77,7.92,7.44,"12,112,100","672,138,000",-0.48,Decrease
485,4-Dec-16,0.400943396,7.9,7.44,6.82,"8,450,790","684,258,000",-0.62,Decrease
486,5-Dec-16,0.47810219,7.41,6.82,7.87,"17,344,500","641,820,000",1.05,Increase
487,6-Dec-16,0.781350482,6.8,7.87,8.38,"50,671,200","589,548,000",0.51,Increase
488,7-Dec-16,0.698039216,7.89,8.38,8.23,"22,229,600","684,258,000",-0.15,Decrease
489,8-Dec-16,0.616915423,8.38,8.23,8.45,"16,042,700","726,878,000",0.22,Increase
490,9-Dec-16,0.677339901,8.17,8.45,8.13,"12,916,300","708,468,000",-0.32,Decrease
491,10-Dec-16,0.562248996,8.44,8.13,8.19,"8,108,370","732,173,000",0.06,Increase
492,11-Dec-16,0.646808511,8.13,8.19,8.52,"5,545,500","705,363,000",0.33,Increase
493,12-Dec-16,0.631578947,8.19,8.52,8.42,"9,119,700","711,348,000",-0.1,Decrease
494,13-Dec-16,0.713432836,8.52,8.42,8.27,"4,486,190","740,099,000",-0.15,Decrease
495,14-Dec-16,0.612794613,8.45,8.27,7.83,"7,337,220","734,382,000",-0.44,Decrease
496,15-Dec-16,0.566371681,8.24,7.83,7.86,"13,184,400","715,861,000",0.03,Increase
497,16-Dec-16,0.251336898,7.86,7.86,7.88,"5,178,610","683,399,000",0.02,Increase
498,17-Dec-16,0.394230769,7.86,7.88,7.87,"8,502,620","683,357,000",-0.01,Decrease
499,18-Dec-16,0.577981651,7.86,7.87,7.64,"5,890,020","684,028,000",-0.23,Decrease
500,19-Dec-16,0.634408602,7.87,7.64,7.66,"5,894,760","685,054,000",0.02,Increase
501,20-Dec-16,0.786163522,7.63,7.66,7.91,"6,313,550","664,772,000",0.25,Increase
502,21-Dec-16,0.590038314,7.66,7.91,7.58,"9,393,550","667,625,000",-0.33,Decrease
503,22-Dec-16,0.482625483,7.9,7.58,7.17,"16,376,700","688,380,000",-0.41,Decrease
504,23-Dec-16,0.949541284,7.58,7.17,7.27,"19,613,100","660,546,000",0.1,Increase
505,24-Dec-16,0.87987013,7.15,7.27,7.18,"7,626,020","623,759,000",-0.09,Decrease
